sequence,category_sequence,name,category,subcategory,status,source
1,1,UMATTR Crown Moisture Shampoo,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
2,2,UMATTR Crown Moisture Conditioner,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
3,3,UMATTR Crown Deep Repair Mask,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
4,4,UMATTR Crown Aloe Leave-In Conditioner,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
5,5,UMATTR Crown Aloe Hair Milk,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
6,6,UMATTR Crown Scalp Oil,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
7,7,UMATTR Crown Black Hair Oil,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
8,8,UMATTR Crown Growth-Look Serum,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
9,9,UMATTR Crown Braid & Loc Spray,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
10,10,UMATTR Crown Curl Cream,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
11,11,UMATTR Crown Edge Control,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
12,12,UMATTR Crown Heat Protectant Mist,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
13,13,UMATTR Crown Detangling Spray,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
14,14,UMATTR Crown Co-Wash Cleanser,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
15,15,UMATTR Crown Scalp Scrub,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
16,16,UMATTR Crown Pre-Poo Treatment Oil,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
17,17,UMATTR Crown Daily Shine Mist,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
18,18,UMATTR Crown Satin Hair Wrap,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
19,19,UMATTR Crown Satin Bonnet,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
20,20,UMATTR Crown Detangling Comb,UMATTR Crown Care,Crown Care Core Products,Concept / Master List,UMATTR Official Product Master List
21,1,UMATTR Crown Lace Front Wig — Body Wave,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
22,2,UMATTR Crown Lace Front Wig — Deep Wave,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
23,3,UMATTR Crown Lace Front Wig — Water Wave,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
24,4,UMATTR Crown Lace Front Wig — Straight Silk,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
25,5,UMATTR Crown Lace Front Wig — Kinky Straight,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
26,6,UMATTR Crown Lace Front Wig — Afro Kinky Curly,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
27,7,UMATTR Crown Closure Wig — Natural Wave,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
28,8,UMATTR Crown Closure Wig — Loose Curl,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
29,9,UMATTR Crown Headband Wig — Everyday Wave,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
30,10,UMATTR Crown Half Wig — Natural Blend,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
31,11,UMATTR Crown Bob Wig — Sleek Black,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
32,12,UMATTR Crown Bob Wig — Curly Bob,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
33,13,UMATTR Crown Pixie Wig,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
34,14,UMATTR Crown Braided Wig,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
35,15,UMATTR Crown Loc Wig,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
36,16,UMATTR Crown Clip-In Extensions,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
37,17,UMATTR Crown Ponytail Extension,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
38,18,UMATTR Crown Wig Care Spray,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
39,19,UMATTR Crown Wig Stand,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
40,20,UMATTR Crown Wig Storage Bag,UMATTR Crown Wigs,Wig Categories,Concept / Master List,UMATTR Official Product Master List
41,1,UMATTR Skin Gentle Cleanser,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
42,2,UMATTR Skin Hydrating Cream Cleanser,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
43,3,UMATTR Skin Aloe Toner Mist,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
44,4,UMATTR Skin Vitamin Glow Serum,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
45,5,UMATTR Skin Hyaluronic Moisture Serum,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
46,6,UMATTR Skin Bright-Look Serum,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
47,7,UMATTR Skin Daily Moisture Cream,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
48,8,UMATTR Skin Rich Barrier Cream,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
49,9,UMATTR Skin Under-Eye Cream,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
50,10,UMATTR Skin Facial Oil,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
51,11,UMATTR Skin SPF Day Cream,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
52,12,UMATTR Skin Body Butter,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
53,13,UMATTR Skin Hand Cream,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
54,14,UMATTR Skin Body Oil,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
55,15,UMATTR Skin Exfoliating Polish,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
56,16,UMATTR Skin Clay Mask,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
57,17,UMATTR Skin Sheet Mask,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
58,18,UMATTR Skin Travel Set,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
59,19,UMATTR Skin Starter Routine Kit,UMATTR Skin,Skin Care Core Products,Concept / Master List,UMATTR Official Product Master List
